"Comment","Designator","Footprint","LCSC Part Number"
"150uF","C3,C18,C22,C26,C41,C45,C49,C53,C68,C72,C76,C80,C95,C99,C103,C107,C131,C135,C139,C143","CP_Elec_6.3x7.7","C250091"
"100nF 1206","C4,C19,C23,C27,C42,C46,C50,C54,C69,C73,C77,C81,C96,C100,C104,C108,C132,C136,C140,C144","C_1206_3216Metric","C24497"
"22uF","C8,C9,C10,C11,C12,C34,C35,C36,C37,C38,C61,C62,C63,C64,C65,C88,C89,C90,C91,C92,C124,C125,C126,C127,C128","C_0805_2012Metric","C45783"
"2.2uF","C109","C_0805_2012Metric","C49217"
"10uF","C110,C1,C2,C13,C14,C15,C16,C17,C20,C21,C24,C25,C28,C29,C30,C39,C40,C43,C44,C47,C48,C51,C52,C55,C56,C57,C66,C67,C70,C71,C74,C75,C78,C79,C82,C83,C84,C93,C94,C97,C98,C101,C102,C105,C106,C118,C119,C120,C129,C130,C133,C134,C137,C138,C141,C142","C_0805_2012Metric","C440198"
"1uF HV","C111","C_0603_1608Metric","C15849"
"1uF","C112,C114,C116,C5,C33,C60,C87,C123","C_0402_1005Metric","C52923"
"100nF","C113,C115,C117,C6,C7,C31,C32,C58,C59,C85,C86,C121,C122","C_0402_1005Metric","C1525"
"100uF","C145,C146,C147,C148,C149","CP_Elec_6.3x7.7","C5361261"
"10uF 0603","C150","C_0402_1005Metric","C96446"
"SMAJ22A","D17","D_SMA","C309875"
"P6SMB6.8CA","D22,D23,D24,D25,D26","D_SMB","C78395"
"2A","F1,F2,F3,F4,F7,F8,F9,F10,F12,F13,F14,F15,F17,F18,F19,F20,F23,F24,F25,F26","Fuse_1206_3216Metric","C187611"
"3A","F5,F6,F11,F16,F22","Fuse_1206_3216Metric","C553935"
"6A","F21","Fuse_1206_3216Metric","C183161"
"120R@100MHz 3A","FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8,FB9,FB10,FB11,FB12,FB13,FB14,FB15,FB16,FB17,FB18,FB19,FB20,FB21,FB22,FB23,FB24,FB25,FB26,FB27,FB28,FB29,FB30,FB31,FB32,FB33,FB34,FB35,FB36,FB37,FB38,FB39,FB40","L_0805_2012Metric","C79382"
"USB_C_Receptacle","J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J18,J19,J20,J21","USB_Type_C_Straight_C168703","C168703"
"USB_C_Receptacle_USB2.0","J17","USB_C_Receptacle_Palconn_UTC16-G","C167321"
"4.7uH","L1,L2,L3,L4,L5","L_Sunlord_MWSA0605S","C5127340"
"AP90P03Q","Q1,Q2","DFN-8-FET_3x3mm_P0.65mm","C2849567"
"3.9k","R1,R8,R12,R16,R23,R27,R31,R35,R42,R46,R50,R54,R61,R65,R69,R73,R88,R92,R96,R100","R_0402_1005Metric","C51721"
"680R","R2,R9,R13,R17,R24,R28,R32,R36,R43,R47,R51,R55,R62,R66,R70,R74,R89,R93,R97,R101","R_0402_1005Metric","C25130"
"300k","R5,R6,R20,R21,R39,R40,R58,R59,R85,R86","R_0402_1005Metric","C25774"
"56k","R7,R22,R41,R60,R87","R_0402_1005Metric","C25796"
"1R","R78","R_0805_2012Metric","C25271"
"10k","R79,R80,R77,R108,R109,R110,R111","R_0402_1005Metric","C25744"
"100k","R81,R83","R_0402_1005Metric","C25741"
"1M","R82,R84","R_0402_1005Metric","C26083"
"4.7k","R104,R106,R107","R_0402_1005Metric","C25900"
"22k","R105,R3,R4,R10,R11,R14,R15,R18,R19,R25,R26,R29,R30,R33,R34,R37,R38,R44,R45,R48,R49,R52,R53,R56,R57,R63,R64,R67,R68,R71,R72,R75,R76,R90,R91,R94,R95,R98,R99,R102,R103","R_0402_1005Metric","C25768"
"0R","R112,R113,R114,R115,R116","R_0402_1005Metric","C17168"
"MT9700","U1,U3,U4,U5,U7,U8,U9,U10,U12,U13,U14,U15,U17,U18,U19,U20,U23,U24,U25,U26","SOT-23-5","C89855"
"AOZ1267QI","U2,U6,U11,U16,U22","QFN-23L","C2072052"
"CYPD3177","U21","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","C2959321"
"HT7550-1-SOT89","U27","SOT-89-3","C16106"
